LDA topics for 145,000 neuroscience-related pubmed abstracts with no pre-processing
-------

18,884 topic #0 0.053*visual + 0.027*processing + 0.024*stimuli + 0.021*information + 0.019*sensory + 0.017*cortex + 0.016*cortical + 0.015*perception + 0.012*stimulus + 0.010*neural
18,915 topic #1 0.121*stimulation + 0.100*m + 0.021*electrical + 0.021*tms + 0.016*evoked + 0.015*at + 0.012*transcranial + 0.011*effects + 0.010*over + 0.010*gaze
19,018 topic #2 0.051*hippocampus + 0.051*hippocampal + 0.040*cortex + 0.027*ca + 0.027*cerebellar + 0.021*cortical + 0.019*layer + 0.019*dentate + 0.017*granule + 0.017*pyramidal
19,059 topic #3 0.099*motor + 0.036*movement + 0.034*during + 0.024*movements + 0.020*control + 0.014*activity + 0.012*limb + 0.011*were + 0.010*arm + 0.010*reflex
19,110 topic #4 0.098*at + 0.044*day + 0.038*days + 0.034*after + 0.027*early + 0.027*postnatal + 0.025*period + 0.024*time + 0.024*during + 0.022*kv
19,243 topic #5 0.054*cerebral + 0.040*ischemia + 0.035*after + 0.030*blood + 0.028*ischemic + 0.028*flow + 0.024*stroke + 0.023*brain + 0.022*hypoxia + 0.018*min
19,306 topic #6 0.170*receptor + 0.119*receptors + 0.028*antagonist + 0.027*agonist + 0.022*cb + 0.018*antagonists + 0.017*selective + 0.017*agonists + 0.015*binding + 0.011*cannabinoid
19,349 topic #7 0.047*serum + 0.039*vascular + 0.036*blood + 0.026*astrocytic + 0.026*pp + 0.023*vessels + 0.021*intracranial + 0.013*thyroid + 0.013*vessel + 0.013*edema
19,394 topic #8 0.053*levels + 0.034*increased + 0.025*increase + 0.024*treatment + 0.019*changes + 0.018*decreased + 0.016*after + 0.016*chronic + 0.016*plasma + 0.015*concentrations
19,457 topic #9 0.245*l + 0.094*no + 0.053*oxide + 0.049*nitric + 0.031*synthase + 0.020*nos + 0.018*cgmp + 0.015*igg + 0.015*inos + 0.015*nnos
19,536 topic #10 0.024*research + 0.020*health + 0.015*care + 0.011*medical + 0.011*their + 0.010*practice + 0.009*students + 0.009*neuroscience + 0.009*clinical + 0.008*from
19,562 topic #11 0.088*nerve + 0.047*axons + 0.039*axonal + 0.037*peripheral + 0.036*axon + 0.023*sensory + 0.021*regeneration + 0.017*fibers + 0.015*ganglion + 0.015*nerves
19,680 topic #12 0.035*female + 0.032*male + 0.027*females + 0.026*males + 0.023*sex + 0.019*estrogen + 0.017*estradiol + 0.016*adult + 0.016*during + 0.015*sexual
19,708 topic #13 0.219*b + 0.063*nr + 0.040*glur + 0.037*subunit + 0.029*c + 0.029*subunits + 0.023*ser + 0.021*phosphorylation + 0.020*receptor + 0.019*amp
19,763 topic #14 0.059*anti + 0.058*antibodies + 0.047*antibody + 0.045*substance + 0.042*nk + 0.035*sp + 0.019*integrin + 0.017*oh + 0.016*against + 0.012*me
19,863 topic #15 0.043*quot + 0.027*genetic + 0.017*mutations + 0.015*have + 0.013*gene + 0.011*been + 0.011*disease + 0.011*genes + 0.009*associated + 0.009*disorders
